"Gene symbol","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8_Tcell"
"GABPB1.AS1",614.554437249212,224.531959479246,115.687726142069,115.80943625857,90.0880285816007,159.567828545052,332.492963691913,737.918154619496,121.726376104752
"BEST1",28.0867930142365,23.8207593737707,81.5994204186803,72.1766610779627,45.3763764038854,26.9507029893589,40.4961261047135,28.5116771362643,44.7907370060206
"ITPKB",2563.20650704198,129.853941944688,75.8718073708494,92.4147033348721,55.3460134913789,85.8938539902753,42.0858397794484,2179.60652555372,228.925601023407
"LANCL2",19.9348245105056,22.4625062493745,35.301975159468,41.2900854766795,28.8015589934302,41.513624726287,86.4192317142745,32.7550852875862,36.7496218570701
"FANCA",48.662245861261,70.9401020237946,53.0935609427971,170.039958292569,93.9494623264066,143.093467355325,43.9729373103608,40.4674770025196,265.519682651705
"CASKIN1",26.7307238461565,20.3576552581167,24.3952100459868,28.9694120598197,30.2603443542241,32.1326041055098,64.2202109984684,24.6390546716583,41.1490295009102
"NOP56",2713.61248997509,1082.20605269518,694.278651401727,238.219136254758,638.320645466237,1426.36945651858,3389.45006233648,713.787585792602,1151.85028878621
"SMARCA4",10.312212549348,12.6729325374051,18.0800529777744,18.6248319083337,17.9861001260272,15.7539205504806,38.9859125709081,13.7947556788547,51.0602784433812
"APOBEC3G",67.1910420619148,71.273284264368,93.9082498987761,116.809435088517,57.7199642037871,137.919630098456,82.0156032717409,107.388820350274,27.6502189602707
"ZNF33A",24.1222236553907,19.1310148264329,9.83020157284179,8.96870072265776,9.94056945282285,10.5332081005965,10.0008900760274,14.9204485237271,112.175787353997
"ECE2",58.6832960636012,41.7428731763583,89.6573529080652,74.7604060616726,73.3765922755047,146.134195598234,324.608057267893,50.4509314425561,20.7829421557785
"MAN1A1",32.5673854967932,177.862431094446,570.303865083788,614.76043148799,540.540160650871,32.6891735922479,283.079114245418,21.1417515377914,129.636395283439
"ING5",236.126638927275,55.083678459333,49.1389797879482,21.9495050045568,66.8916162829438,198.025581018188,46.4350247897258,155.98408189526,117.240238681223
"PRRC2B",698.102467223595,285.970396995233,324.672413978392,136.57432665623,256.532446363146,266.070361078994,78.407323068025,407.834496497004,240.953425335254
"TFE3",21.0558323187131,15.1298890189847,15.4595669257938,19.2726960675002,18.6262520349424,16.8469906139628,101.289161792691,16.5421861170249,55.7399382855896
"RNF126",163.63289600625,275.504676973115,164.844620844431,188.198393140791,89.5252352822028,280.68594222331,319.16563217915,140.941728286705,289.311427676692
"FBXO22",72.0391872669763,66.7604604519912,183.740391810868,131.974281369836,256.46133032561,282.288001717762,155.197445370999,69.2697230194448,68.9583571859466
"PKNOX1",19.1380376075689,19.0356707344866,19.5017677663729,22.3877245891863,22.5460610224917,24.0096754998497,173.399508616739,17.4358283390834,51.4224520221614
"EIF4EBP2",396.669592822718,648.301005373288,528.202382980259,223.98759124796,500.739862956295,442.010858109962,141.79250843476,551.370396577372,266.714139634075
"TMEM144",8.26878867947626,9.62723829093001,21.5514345653641,32.365805407954,112.285824789472,8.84910163779689,9.27615546993818,7.95288329401784,7.61454060660419
"MAGT1",333.353254067984,209.377557131788,226.277291945034,185.514031484021,328.085039723113,101.673577769015,444.671767584922,85.1953627228381,622.780084554
"TRA2B",14.6973281090051,16.6670341651821,11.8011945867857,10.8270702145711,12.1869229174647,19.891704507833,80.2421301560668,12.4864373627995,57.1823299470089
"SERPINB1",232.928926031259,1118.99432163308,992.030729143441,915.480280249637,1504.98406890817,183.450242317096,137.335139478271,518.108341206772,458.906680944071
"ARHGAP22",18.4978154925607,14.9501597985229,18.0700425719758,17.3816302983586,15.1965718297365,15.8007266276634,47.9692839798343,16.8174259425647,23.8138008806605
"ARHGAP21",79.4339587739031,170.495812992851,474.36672378229,147.495537913972,497.544412146028,84.2434141014458,69.866017448925,117.342270303246,99.1985068491411
"PCSK5",16.9476343208151,140.922337488448,211.49019951766,71.2811891628665,271.602321361588,38.8478809382441,48.8859505479069,154.767528100466,35.0100568662229
"RPE",6.69415056257838,7.41517119115437,7.35387676342589,6.47790809448852,8.44525508724114,6.64556563862743,8.34566204329202,6.81034082484081,23.0298083465743
"ZNF286A",62.4390637628868,71.1827122851727,26.3896808852123,24.1144416339443,27.4905430287979,66.2014540660946,106.635537318276,79.3972426258455,71.9907927496273
"ETV6",94.7338426498107,217.379110800543,475.811061094244,472.029920439244,569.90850002283,149.967284543694,158.60203808379,50.1290503951721,229.89893936561
"PLXDC1",133.631007795613,47.2002468641853,16.9569524150216,15.3020177864597,19.3003151502926,90.5502048595433,20.5097215485021,176.360541314203,180.888138748284
"RABEP1",185.068044770941,108.649746633836,104.358405777475,66.7356386239891,89.6500200104697,120.690641343888,417.920002383573,154.023321131165,339.451347007422
"STXBP5",38.7914285217857,65.2060986847631,67.1141935549471,39.6465383340089,30.3126168829863,30.569265853508,21.5455720738042,370.543986043834,31.6567994697831
"SSBP1",95.2983281784249,79.3053615757329,41.1491293291996,25.1206345114654,30.9411947423581,46.0137457904739,29.7662690876117,175.753791211476,352.312658210013
"NIPBL",33.4102761015646,351.575931907617,89.561513289731,55.6414071331415,205.974866907685,45.7087353973997,717.026435845919,221.938169950745,936.89690891001
"POMP",87.19079934035,74.1826294053408,145.251575301953,274.450945639467,247.679731087845,182.077141086298,230.658796108801,22.7345887178545,41.5448142056302
"MFN1",165.80399978635,198.179098149871,315.588319645192,468.906835530442,475.97467353705,169.703792968017,59.2673644965283,144.785167195252,50.3698489670948
"MXD4",70.6229901291331,272.738583848558,288.112011892502,138.169464057696,150.424786613992,91.1582927274123,80.9564150368375,94.3014467868602,186.176994127038
"DNAJB12",53.5119055919022,94.4633962082344,285.678172532436,256.598424115375,193.287093980662,166.278519784519,363.757705800097,135.361720436609,167.545310888944
"SNX13",20.5154514997955,27.1518388065804,54.551274575418,68.4944647968488,48.2356198257859,28.0758345101872,145.758933697453,22.0703407677704,126.122949146805
"ICAM1",72.4655299983891,138.402241675189,421.576021168067,2343.30576428997,1042.73113788129,145.079814946754,337.3457088112,55.9065727194096,75.8903477268809
"EEA1",412.482756579347,256.051730641176,872.032443214877,409.656671520376,942.640920121346,180.256440855547,68.3168476034049,302.413555773922,52.4205468937709
"HHEX",16.7563962382993,141.219891184556,164.974244418142,128.327005766851,64.17351048279,14.9899430803759,9.78925113667667,17.8041789326375,10.7504600945715
"ASH1L",41.8472234940854,46.1669813801419,34.1049679091987,44.47482427063,48.0263412487698,33.2968778207307,136.002183146919,23.6664104499805,360.846512178802
"RASSF3",73.6342975763989,132.299793539986,35.1459854070558,43.5940096630303,181.492421844069,27.4416628436736,142.308448163465,25.5965062423011,235.873167608253
"NABP1",555.542317331042,94.3827629325494,466.240655301534,843.694566415923,1139.37583640845,341.357112053061,1633.63730375925,46.9916330520708,211.25182578559
"EPPK1",99.7185500173987,17.5009156391219,9.19855980643466,10.7487724280799,11.0556159480491,24.3624108316117,15.905336617394,90.1909642679464,15.8616945347999
"RIOK3",150.544793085658,302.421730951459,402.488848017114,535.930086744696,286.019361421526,117.180605532476,487.881679753114,63.2958058121782,363.764513579762
"SCAI",13.2797032198196,16.5607487867306,12.2180995908022,13.0033324993516,12.3528326363245,38.2972262269481,14.6588700972308,27.7059129191703,47.3690554690994
"DAGLB",20.3056034869919,25.3205353015793,174.313198482782,37.5814154577143,52.6235984654511,26.8312432570995,47.8133306033708,21.0043465669035,42.9954026336729
"MAPKAPK3",61.2158356332307,168.99485329996,367.564850264808,377.491146940229,236.972937274711,321.415345550863,232.983342394141,69.7086121625201,124.378257457172
"DEGS1",441.156276303063,733.716286914886,1312.70133760243,835.749050173857,2176.6858645245,525.327027042651,584.487353740144,616.526031321545,395.94479914456
"FXYD5",2402.84521252779,1070.29813156533,1269.11580174133,1173.2746046578,354.333362607025,418.927273186524,1723.39358080606,971.223823371988,2779.48041278519
"FAM13A",39.0548820928593,102.072788473585,203.990336535735,56.1582471173622,287.602319326441,748.883763084158,13.8963491244217,51.9672207705027,151.009290441737
"TBX1",33.0811389322075,29.6048471495045,55.1145756284138,51.6389048714394,38.6249724801214,40.6382958654751,142.082099996516,40.1749131506257,19.6449215304017
"IKZF5",185.364736015133,195.811474671454,107.840852784188,29.6353666174024,99.4395939353448,91.8698775081496,89.4228734479709,490.004096439841,282.633957359325
"ZNF720",91.5080653287585,70.1384916399014,38.2882283208639,59.2967446960628,39.2732068274333,112.910668727116,129.259544269421,160.449891076228,150.669751506867
